Wavelength,B30R150,Energy B30R150,B30R150FR30,Energy B30R150FR30,R180FR30,Energy R180FR30,B90R90,Energy B90R90,B90R90FR30,Energy B90R90FR30,B180FR30,Energy B180FR30,B90R90 (2),Energy B90R90 (2),B90R90FR30 (2),Energy B90R90FR30 (2),B90R90FR75,Energy B90R90FR75,B180R180,Energy B180R180,B180R180FR30,Energy B180R180FR30,B180R180FR75,Energy B180R180FR75,B60R120,Energy B60R120,B40G20R120,Energy B40G20R120,B20G40R120,Energy B20G40R120,G60R120,Energy G60R120,B40R120FR20,Energy B40R120FR20,B20R120FR40,Energy B20R120FR40,R120FR60,Energy R120FR60,B20G20R120FR20,Energy B20G20R120FR20,Warm white,Energy Warm white,Equalized white,Energy Equalized white,R180,Energy R180,G60R120 (2),Energy G60R120 (2),B20R160,Energy B20R160,B20G60R100,Energy B20G60R100,B60R120 (2),Energy B60R120 (2),B60G60R60,Energy B60G60R60,B100R80,Energy B100R80,B100G60R20,Energy B100G60R20,EQW180,Energy EQW180,EQW100B10R70,Energy EQW100B10R70,EQW100B50R30,Energy EQW100B50R30,WW180,Energy WW180,Greenhouse Wavelength,Greenhouse,Energy Greenhouse
350,0.000426093,0.000145735,0.001490335,0.000509735,0.001536733,0.000525604,0.00378653,0.001295095,0.00420228,0.001437292,0.00635098,0.002172205,0.003445343,0.0011784,0.0034114,0.00116679,0.008232357,0.002815687,0.006780586,0.002319142,0.004245486,0.00145207,0.007270429,0.002486681,0.0024567,0.000840257,0.002745514,0.000939039,0.002215164,0.000757645,0.001584691,0.000542007,0.005862243,0.002005044,0.005503357,0.001882296,0.004538671,0.001552347,0.005625943,0.001924223,0.00046403,0.000158711,0.003230057,0.001104766,9.48E-05,3.78E-05,0.00171258,0.000683373,0.001506304,0.000601063,0.001012517,0.000404026,0.001134819,0.000452828,0.00299,0.001193104,0.000470591,0.000187781,0.002117366,0.000844895,0.001629014,0.000650028,0.000147376,5.88E-05,0.001157841,0.000462015,0.00029694,0.000118488,300,0.07405593,0.029549628
351,8.00E-05,2.73E-05,1.63E-05,5.57E-06,0.00202848,0.000691818,0.00391714,0.00133595,0.00447259,0.001525387,0.00512529,0.001747992,0.002995671,0.001021681,0.003302886,0.001126457,0.007693714,0.002623959,0.007546414,0.002573722,0.003894457,0.001328214,0.007163714,0.002443202,0.003299743,0.001125385,0.003463871,0.001181362,0.003347471,0.001141663,0.002167061,0.000739081,0.004667614,0.001591901,0.004980386,0.001698572,0.00360488,0.001229453,0.005071914,0.001729788,0.000619451,0.000211265,0.003001443,0.001023649,2.33E-05,9.26E-06,0.001030459,0.000409819,0.00108258,0.000430548,0.001226177,0.000487658,0.001294833,0.000514962,0.002943557,0.001170669,0.001203443,0.000478616,0.000669074,0.000266095,0.001879257,0.000747391,4.46E-05,1.77E-05,0.001036953,0.000412402,0.000412599,0.000164093,301,0.101394264,0.040323696
352,0.000665087,0.000226185,0.000949809,0.000323014,0.001526527,0.000519147,0.00449872,0.00152994,0.0041535,0.001412537,0.0067081,0.002281314,0.004152686,0.00141226,0.003688914,0.001254539,0.0085657,0.002913053,0.007664243,0.002606482,0.0039242,0.001334556,0.007899714,0.002686562,0.003580814,0.001217776,0.004014571,0.001365289,0.003918246,0.001332531,0.003621414,0.001231583,0.002745329,0.000933641,0.003566557,0.001212927,0.002845251,0.000967623,0.0035883,0.001220322,0.000468474,0.00015932,0.002797657,0.000951437,1.69E-05,6.71E-06,0.001905427,0.00075529,0.000441821,0.000175133,0.003742929,0.001483655,0.003091514,0.001225441,0.002645136,0.001048502,0.0010713,0.000424651,0.001127969,0.000447114,0.002044229,0.000810309,0.000162619,6.45E-05,0.001245276,0.000493613,0.000396,0.00015697,302,0.099247228,0.039339142
353,0.001026588,0.000348137,0.000946502,0.000320978,0.00284735,0.000965594,0.00589922,0.002000544,0.00531184,0.001801352,0.0125767,0.004265011,0.0033917,0.001150194,0.003799929,0.001288632,0.008558443,0.00290234,0.007897171,0.002678089,0.003074614,0.001042663,0.007746129,0.002626868,0.003733186,0.001265998,0.003855771,0.001307569,0.003519677,0.001193593,0.003718471,0.001261008,0.001784787,0.000605257,0.002463783,0.000835518,0.002394986,0.000812188,0.002428673,0.000823612,0.000571154,0.00019369,0.002933543,0.000994823,0,0,0.002702929,0.001067874,0.000611384,0.000241546,0.0041941,0.001657007,0.003720586,0.001469931,0.001902368,0.000751589,0.00132301,0.000522695,0.001550286,0.000612488,0.001683784,0.00066523,0.00044021,0.000173918,0.001269577,0.000501585,0.000552693,0.000218358,303,0.130943895,0.051731618
354,0.002159674,0.00073032,0.001373648,0.000464516,0.001171145,0.000396037,0.00428661,0.001449569,0.00416181,0.001407366,0.01052563,0.003559369,0.004491386,0.001518816,0.004861643,0.001644023,0.007707371,0.002606341,0.006688586,0.002261826,0.004317686,0.001460078,0.006651057,0.002249135,0.004263114,0.001441624,0.0054111,0.001829829,0.003958229,0.001338523,0.005229386,0.00176838,0.002114431,0.000715021,0.002391403,0.000808682,0.002291186,0.000774792,0.002040919,0.000690161,0.000569981,0.000192746,0.003530057,0.001193732,0,0,0.002831629,0.001115041,0.000451119,0.000177642,0.0033347,0.001313141,0.003282943,0.00129276,0.000909789,0.000358257,0.001798276,0.000708127,0.001319361,0.000519539,0.0022329,0.000879273,0.000194196,7.65E-05,0.001138716,0.000448404,0.000396707,0.000156216,304,0.123500125,0.048630334
355,0.000775894,0.000261639,0.000866508,0.000292195,0.002445319,0.000824585,0.005231,0.001763943,0.0049277,0.001661667,0.01147253,0.003868646,0.005559329,0.001874659,0.005785443,0.001950906,0.007239543,0.002441243,0.006947529,0.002342773,0.004655357,0.001569831,0.006515071,0.002196944,0.005519557,0.001861247,0.005910257,0.001992995,0.006232057,0.002101509,0.005722886,0.001929812,0.0028826,0.00097204,0.002171471,0.000732241,0.001851347,0.000624292,0.002052459,0.000692109,0.001394786,0.000470335,0.002813271,0.000948662,9.12E-05,3.58E-05,0.003053081,0.001198303,0.000857735,0.000336652,0.002698671,0.001059201,0.002704501,0.001061489,0.000754194,0.000296014,0.001397476,0.000548495,0.000733521,0.0002879,0.001885486,0.000740034,6.41E-05,2.52E-05,0.001314271,0.000515838,0.000323709,0.000127052,305,0.130233765,0.051113685
356,0.001279111,0.000430117,0.001257035,0.000422693,0.0034532,0.001161181,0.00561445,0.001887928,0.00564367,0.001897753,0.00927014,0.003117199,0.004790471,0.001610855,0.005782986,0.0019446,0.009317229,0.003133033,0.008580657,0.002885352,0.006309671,0.002121705,0.009183157,0.00308795,0.004054229,0.001363284,0.004455271,0.00149814,0.005501814,0.001850053,0.004534277,0.001524706,0.003560157,0.001197147,0.002012371,0.000676685,0.00218199,0.000733721,0.003209343,0.001079181,0.002047914,0.000688636,0.002562257,0.00086159,0.000183014,7.16E-05,0.002682634,0.001049466,0.000643472,0.000251731,0.001974113,0.000772287,0.001700824,0.000665375,0.000559251,0.000218783,0.0006256,0.000244739,0.001176976,0.000460441,0.0013983,0.000547025,0.000198775,7.78E-05,0.001304126,0.000510183,0.000824744,0.000322646,306,0.116554006,0.04559521
357,0.000328008,0.000109988,0.000211333,7.09E-05,0.00409679,0.001373737,0.00607392,0.002036709,0.00625568,0.002097657,0.00865862,0.002903412,0.003611114,0.00121088,0.004063429,0.00136255,0.009742971,0.003267017,0.009046543,0.00303349,0.005342571,0.001791473,0.009474086,0.003176854,0.002228296,0.000747193,0.00232906,0.000780981,0.002955643,0.000991087,0.002342474,0.000785479,0.003735443,0.00125257,0.001831986,0.000614302,0.002237376,0.000750238,0.002990314,0.001002713,0.002139814,0.000717523,0.002735557,0.000917288,3.03E-05,1.18E-05,0.002818291,0.001098944,0.000415621,0.000162064,0.00180674,0.000704507,0.001317965,0.000513918,0.000661535,0.000257954,0.000612852,0.000238971,0.002094396,0.000816674,0.001308587,0.000510261,0.000229497,8.95E-05,0.001026816,0.000400389,0.000956283,0.000372886,307,0.135034314,0.052652525
358,0.000188608,6.31E-05,0.000304661,0.000101874,0.00345604,0.001155644,0.00602724,0.002015411,0.00570337,0.001907114,0.00807162,0.002699019,0.004775371,0.001596807,0.0040691,0.001360641,0.0095191,0.003183032,0.009304186,0.003111168,0.0043601,0.001457947,0.009442671,0.003157476,0.003988043,0.001333537,0.003965514,0.001326004,0.003628557,0.001213331,0.003857871,0.00129001,0.003264504,0.001091597,0.001891433,0.000632464,0.002442,0.000816565,0.00279583,0.00093488,0.002063157,0.000689886,0.002480986,0.000829601,6.33E-05,2.46E-05,0.002934557,0.001140565,0.00160504,0.000623826,0.001055661,0.000410301,0.001589709,0.000617867,0.002010231,0.00078131,0.000644776,0.000250603,0.0026099,0.001014382,0.001181227,0.000459104,0.000332062,0.000129062,0.001233136,0.000479279,0.00080913,0.000314482,308,0.136489976,0.053047324
359,0.001671669,0.000557422,0.0021827,0.000727826,0.00359444,0.001198574,0.00592664,0.001976252,0.00602056,0.00200757,0.00822452,0.002742485,0.004631971,0.001544542,0.004736857,0.001579516,0.0085138,0.002838946,0.0083211,0.00277469,0.004987271,0.001663017,0.008925557,0.002976248,0.0036847,0.001228672,0.003360671,0.001120624,0.003211,0.001070715,0.00287764,0.000959556,0.002091943,0.000697563,0.001551734,0.000517429,0.001000779,0.000333712,0.00235979,0.000786877,0.001841586,0.000614081,0.001927314,0.000642667,0,0,0.003129143,0.001212258,0.001367516,0.000529788,0.002118169,0.000820598,0.00201325,0.000779951,0.002497871,0.000967698,0.00093788,0.000363343,0.002852714,0.001105167,0.001532057,0.000593533,5.78E-05,2.24E-05,0.001033024,0.000400203,0.000465659,0.0001804,309,0.102976613,0.039892712
